,IDCamera,LocalizacaoCamera,LatitudeCamera,LongitudeCamera,Crimes,esquina
1,CAMERA DE VÍDEO 02 DIGIFORT,RUA DONA ALEXANDRINA X RUA GEMINIANO COSTA,-22.020617,-47.889668,3,0
2,CAMERA DE VÍDEO 03 DIGIFORT,RUA DONA ALEXANDRINA X RUA CONDE DO PINHAL,-22.017857,-47.889702,0,1
3,CAMERA DE VÍDEO 04 DIGIFORT,RUA EPISCOPAL X AVENIDA DOUTOR CARLOS BOTELHO,-22.011460999999997,-47.891853000000005,2,2
5,CAMERA DE VÍDEO 06 DIGIFORT,RUA EPISCOPAL X RUA 07 DE SETEMBRO,-22.016039000000003,-47.891731,2,3
6,CAMERA DE VÍDEO 07 DIGIFORT,RUA EPISCOPAL X RUA CONDE DO PINHAL,-22.017872,-47.891723999999996,5,4
7,CAMERA DE VÍDEO 08 DIGIFORT,AVENIDA SÃO CARLOS X RUA MAJOR JOSÉ INÁCIO,-22.01696,-47.890739,3,5
8,CAMERA DE VÍDEO 09 DIGIFORT,AVENIDA SÃO CARLOS X RUA JESUÍNO DE ARRUDA,-22.019710999999997,-47.890678,2,6
9,CAMERA DE VÍDEO 10 DIGIFORT,RUA PAULINO BOTELHO DE A. SAMPAIO X AVENIDA DOUTOR CARLOS BOTELHO,-22.011448,-47.900803,2,7
10,CAMERA DE VÍDEO 11 DIGIFORT,RUA JOSÉ BONIFÁCIO X RUA XV DE NOVEMBRO,-22.012392000000002,-47.893791,0,8
11,CAMERA DE VÍDEO 12 DIGIFORT,RUA VISCONDE DE INHAÚMA X RUA DOUTOR CARLOS BOTELHO,-22.011471,-47.896851,1,9
13,CAMERA DE VÍDEO 14 DIGIFORT,AVENIDA SÃO CARLOS X RUA XV DE NOVEMBRO,-22.012285000000002,-47.890823,0,10
15,CAMERA DE VÍDEO 16 DIGIFORT,RUA NOVE DE JULHO X RUA MARECHAL DEODORO,-22.015135,-47.892746,0,11
17,CAMERA DE VÍDEO 18 DIGIFORT,RUA AQUIDABAN X RUA DOUTOR CARLOS BOTELHO,-22.011478,-47.894917,3,12
18,CAMERA DE VÍDEO 19 DIGIFORT,RUA CAPITÃO ADÃO S. CABRAL X RUA XV DE NOVEMBRO,-22.012323000000002,-47.897831,0,13
24,CAMERA DE VÍDEO 25 DIGIFORT,RUA EPISCOPAL X RUA GEMINIANO COSTA - FIXA GEMINIANO,-22.020685,-47.891655,0,14
25,CAMERA DE VÍDEO 26 DIGIFORT,AVENIDA SÃO CARLOS X RUA GENERAL OSÓRIO - FIXA CALÇADÃO,-22.021584,-47.890614,6,15
28,CAMERA DE VÍDEO 29 DIGIFORT,RUA NOVE DE JULHO X RUA GENERAL OSÓRIO,-22.021606,-47.892590000000006,3,16
32,CAMERA DE VÍDEO 33 DIGIFORT,RUA EPISCOPAL X RUA MARECHAL DEODORO - FIXA MARECHAL,-22.015125,-47.891788,6,17
34,CAMERA DE VÍDEO 35 DIGIFORT,RUA NOVE DE JULHO X RUA JESUINO DE ARRUDA - FIXA JESUINO CENTRO,-22.019748999999997,-47.892654,3,18
36,CAMERA DE VÍDEO 37 DIGIFORT,RUA EPISCOPAL X AVENIDA COMENDADOR ALFREDO MAFFEI - FIXA COMENDADOR ,-22.020308,-47.891644,2,19
37,CAMERA DE VÍDEO 38 DIGIFORT,AV SÃO CARLOS X COMENDADOR ALFREDO MAFFEI POSTO INTEGRADO DE SEGURANÇA PÚBLICA,-22.020393,-47.890696999999996,2,20
